customer_id,customer_name,email,region_id
CUST0001,"Jesse Townsend",rodney11@hotmail.com,1
CUST0002,"Monique Hamilton",pattersonleslie@morales.org,1
CUST0003,"Kim Miller",ericponce@gmail.com,4
CUST0004,"Anthony Fitzpatrick",crystalsmith@yahoo.com,1
CUST0005,"Gabriela Parker",josephrivera@ewing.com,3
CUST0006,"Christina White",jason32@hotmail.com,5
CUST0007,"Gregory Sims",stephenbrown@hotmail.com,3
CUST0008,"Christine Blanchard",bowerskeith@alvarado-newton.info,3
CUST0009,"Stephanie Meyers",rcastro@yahoo.com,3
CUST0010,"Matthew Martinez",eugene05@yahoo.com,3
CUST0011,"James Ayala",jerrybruce@khan.info,2
CUST0012,"Cheryl Randall",victoriaburton@gmail.com,1
CUST0013,"Cynthia West",brandonmartinez@mason-perkins.com,1
CUST0014,"Stephanie Martinez",kimberlybates@hotmail.com,5
CUST0015,"Tracy Lynch",jasonwall@gmail.com,4
CUST0016,"Patricia Hunter",mary74@hotmail.com,5
CUST0017,"Kevin Rice",lreed@becker.net,3
CUST0018,"Scott Cox",hilljane@hotmail.com,1
CUST0019,"Dr. Robert Zamora",justindavenport@gmail.com,4
CUST0020,"Dawn Boone",josephgonzales@yahoo.com,2
CUST0021,"Michelle Wang",drogers@hotmail.com,3
CUST0022,"Katherine Aguilar",lpreston@yahoo.com,4
CUST0023,"Michael Callahan",johnsonjoseph@spencer-robinson.com,5
CUST0024,"Paul Mccarthy",mcleanjason@taylor.biz,5
CUST0025,"Anthony Larson",alvarezmonique@yahoo.com,2
CUST0026,"Eric Howell",christina27@hotmail.com,4
CUST0027,"Nicole Carroll",timothy39@yahoo.com,5
CUST0028,"Adam Wilson",amymay@yahoo.com,5
CUST0029,"Joseph Cortez",vmaxwell@frye.net,4
CUST0030,"James Mayer",hgomez@gmail.com,4
CUST0031,"Micheal Montgomery",william80@gmail.com,4
CUST0032,"Karen Gardner",qhaley@hotmail.com,2
CUST0033,"Candace Lindsey",weaversandra@luna.com,2
CUST0034,"Amber Gonzalez",alejandrasmith@hall.com,4
CUST0035,"Brandon Taylor",wjohnson@mills.org,1
CUST0036,"Barbara Jones",pruittkristin@hotmail.com,3
CUST0037,"Jennifer Fernandez",jenniferrusso@collins.com,2
CUST0038,"Greg Gibson",pearsonsandra@brooks.info,2
CUST0039,"Kevin King",jose25@vaughn-martinez.com,4
CUST0040,"Daniel Gutierrez",meganperez@reynolds-davis.com,3
CUST0041,"Linda Pollard",kathryn56@hotmail.com,4
CUST0042,"David Page",garciabenjamin@gmail.com,1
CUST0043,"Zachary Myers",nathaniel80@williams.org,2
CUST0044,"Devon Torres",michellelopez@hotmail.com,1
